GENEID	HepG2_directRNA_R1.sorted	A549_directRNA_R2.sorted	A549_directRNA_R3.sorted	HepG2_directRNA_R2.sorted	HepG2_directRNA_R3.sorted	A549_directRNA_R1.sorted
BambuGene1	4	3	0	1	0	0
BambuGene3	0	4	2	0	0	0
ENSG00000008735	10	18	7	0	0	0
ENSG00000015475	50	222	65	8	3	18
ENSG00000025708	38	78.99999	25	3	1	11
ENSG00000025770	19	141	38	4	2	11
ENSG00000040608	0.99999	22	8	0	0	0.99999
ENSG00000054611	24.99999	82	25	4	2	12
ENSG00000056487	0	18	9	0	0	1
ENSG00000063515	0	0	0	0	0	0
ENSG00000069998	0	146	53	0	0	11
ENSG00000070010	67	391.00001	145	8.99999	8	49
ENSG00000070371	3	28	7	0	0	3
ENSG00000070413	79.99999	120	20	4	10	11
ENSG00000073146	1	0	0	1	0	0
ENSG00000073150	5	39	10	1	0	3
ENSG00000073169	13	79	14	1	2	10
ENSG00000075218	1	83	24	0	0	7
ENSG00000075234	71	52	20	7	3	10
ENSG00000075240	9	28	16	0	2	0
ENSG00000075275	4	128	43	0	0	11
ENSG00000077935	0	0	0	0	0	0
ENSG00000077942	84	180	57	16	4	14
ENSG00000079974	4	41	8	0	2	3
ENSG00000093000	50	154.00001	42	6	6	11
ENSG00000093009	0	194	54	0	0	20
ENSG00000093010	262.00001	449.99999	148	35	35	54
ENSG00000093072	0	1	0	0	0	0
ENSG00000093100	0	0	0	0	0	0
ENSG00000099889	22	3	3	0	0	2
ENSG00000099899	9	66.00001	22	1	0	10
ENSG00000099901	218	1134	377	28	22	110
ENSG00000099904	11	23	10	0	0	3
ENSG00000099910	11	34	11	0	0	5
ENSG00000099917	45.00001	111	22	6.00001	5	18
ENSG00000099937	303	0	0	48	50	0
ENSG00000099940	25	87	29	3	1	10
ENSG00000099942	50	86	21	3	6	4
ENSG00000099949	15	47	13	1	1	6
ENSG00000099953	16	0	0	1	5	0
ENSG00000099954	0	3	3	0	0	0
ENSG00000099956	142	246	75	9	8	24
ENSG00000099957	0	0	1	0	0	0
ENSG00000099958	0	0	1	0	0	0
ENSG00000099960	0	0	0	0	0	0
ENSG00000099968	23	167	40.00001	7	0	11
ENSG00000099974	5	32	3	0	3	3
ENSG00000099977	98	589.99999	235	25	10	86
ENSG00000099984	0	0	0	0	0	0
ENSG00000099985	0	0	0	0	0	0
ENSG00000099991	74	82.99999	30.99999	9	5.00001	3.00002
ENSG00000099992	10	33	14	1	1	6
ENSG00000099994	5	63	22	0	2	9
ENSG00000099995	86	292	100	16	11	27
ENSG00000099998	1	2	0	1	0	0
ENSG00000099999	1	36	10	0	0	2
ENSG00000100003	4	31	9	0	1	0
ENSG00000100012	0	0	0	0	0	0
ENSG00000100014	40	66	21	6	7	10
ENSG00000100023	32.99999	55.00001	18	4	6	11
